country_name,admin1_name,latitude,longitude,aggregation,indicator,value
#country,#adm1+name,#geo+lat,#geo+lon,,#indicator+name,#indicator+num
Congo,Likouala,2.08521,18.07747,none,flood,1.0
Congo,Likouala,2.08297,18.07298,none,flood,1.0
Congo,Likouala,2.08297,18.07523,none,flood,1.0
Congo,Likouala,2.08072,18.07523,none,flood,1.0
Congo,Likouala,2.07848,18.07073,none,flood,1.0
Congo,Likouala,2.07848,18.07523,none,flood,1.0
Congo,Likouala,2.07623,18.07073,none,flood,1.0
Congo,Likouala,2.07399,18.07073,none,flood,1.0
Congo,Likouala,2.07174,18.06849,none,flood,1.0
Congo,Likouala,2.07174,18.07073,none,flood,1.0
Congo,Likouala,2.06949,18.06624,none,flood,1.0
Congo,Likouala,2.06949,18.06849,none,flood,1.0
Congo,Likouala,2.06725,18.06624,none,flood,1.0
Congo,Likouala,2.06725,18.06849,none,flood,1.0
Congo,Likouala,2.065,18.064,none,flood,1.0
Congo,Likouala,2.065,18.06624,none,flood,1.0
Congo,Likouala,2.065,18.06849,none,flood,1.0
Congo,Likouala,2.06276,18.064,none,flood,1.0
Congo,Likouala,2.06276,18.06624,none,flood,1.0
Congo,Likouala,2.06051,18.06175,none,flood,1.0
Congo,Likouala,2.06051,18.064,none,flood,1.0
Congo,Likouala,2.06051,18.06624,none,flood,1.0
Congo,Likouala,2.06051,18.06849,none,flood,1.0
Congo,Likouala,2.06051,18.07298,none,flood,1.0
Congo,Likouala,2.05826,18.064,none,flood,1.0
Congo,Likouala,2.05826,18.06624,none,flood,1.0
Congo,Likouala,2.05602,18.064,none,flood,1.0
Congo,Likouala,2.05602,18.06624,none,flood,1.0
Congo,Likouala,2.05377,18.064,none,flood,1.0
Congo,Likouala,2.05153,18.064,none,flood,1.0
Congo,Likouala,2.04928,18.064,none,flood,1.0
Congo,Likouala,2.03805,18.064,none,flood,1.0
Congo,Likouala,2.03581,18.064,none,flood,1.0
Congo,Likouala,2.03132,18.064,none,flood,1.0
Congo,Likouala,2.02907,18.064,none,flood,1.0
Congo,Likouala,2.02682,18.07073,none,flood,1.0
Congo,Likouala,2.02682,18.07298,none,flood,1.0
Congo,Likouala,2.02458,18.06624,none,flood,1.0
Congo,Likouala,2.02458,18.07073,none,flood,1.0
Congo,Likouala,2.02458,18.07298,none,flood,1.0
Congo,Likouala,2.02233,18.06624,none,flood,1.0
Congo,Likouala,2.02233,18.07523,none,flood,1.0
Congo,Likouala,2.02009,18.06849,none,flood,1.0
Congo,Likouala,2.02009,18.07073,none,flood,1.0
Congo,Likouala,2.02009,18.07298,none,flood,1.0
Congo,Likouala,2.01784,18.07073,none,flood,1.0
Congo,Likouala,2.01784,18.07298,none,flood,1.0
Congo,Likouala,2.01784,18.07523,none,flood,1.0
Congo,Likouala,2.01559,18.07298,none,flood,1.0
Congo,Likouala,1.97517,18.07747,none,flood,1.0
Congo,Likouala,1.97292,18.07523,none,flood,1.0
Congo,Likouala,1.95945,18.07523,none,flood,1.0
Congo,Likouala,1.9572,18.07523,none,flood,1.0
Congo,Likouala,1.95496,18.07523,none,flood,1.0
Congo,Likouala,1.95271,18.07523,none,flood,1.0
Congo,Likouala,1.94822,18.07523,none,flood,1.0
Congo,Likouala,1.94598,18.07298,none,flood,1.0
Congo,Likouala,1.94598,18.07523,none,flood,1.0
Congo,Likouala,1.94373,18.07298,none,flood,1.0
Congo,Likouala,1.94373,18.07523,none,flood,1.0
Congo,Likouala,1.94373,18.07747,none,flood,1.0
Congo,Likouala,1.93924,18.07298,none,flood,1.0
Congo,Likouala,1.93924,18.07972,none,flood,1.0
Congo,Likouala,1.93699,18.07298,none,flood,1.0
Congo,Likouala,1.93475,18.07073,none,flood,1.0
Congo,Likouala,1.93475,18.07523,none,flood,1.0
Congo,Likouala,1.9325,18.07073,none,flood,1.0
Congo,Likouala,1.9325,18.07298,none,flood,1.0
Congo,Likouala,1.9325,18.07523,none,flood,1.0
Congo,Likouala,1.9325,18.07747,none,flood,1.0
Congo,Likouala,1.93025,18.07073,none,flood,1.0
Congo,Likouala,1.93025,18.07298,none,flood,1.0
Congo,Likouala,1.93025,18.07523,none,flood,1.0
Congo,Likouala,1.93025,18.07747,none,flood,1.0
Congo,Likouala,1.92801,18.07073,none,flood,1.0
Congo,Likouala,1.92801,18.07298,none,flood,1.0
Congo,Likouala,1.92801,18.07523,none,flood,1.0
Congo,Likouala,1.92801,18.07747,none,flood,1.0
Congo,Likouala,1.92576,18.07073,none,flood,1.0
Congo,Likouala,1.92576,18.07523,none,flood,1.0
Congo,Likouala,1.92352,18.07073,none,flood,1.0
Congo,Likouala,1.92352,18.07523,none,flood,1.0
Congo,Likouala,1.92127,18.07073,none,flood,1.0
Congo,Likouala,1.92127,18.07747,none,flood,1.0
Congo,Likouala,1.92127,18.07972,none,flood,1.0
Congo,Likouala,1.91903,18.06849,none,flood,1.0
Congo,Likouala,1.91903,18.07073,none,flood,1.0
Congo,Likouala,1.91903,18.07298,none,flood,1.0
Congo,Likouala,1.91678,18.06849,none,flood,1.0
Congo,Likouala,1.91678,18.07073,none,flood,1.0
Congo,Likouala,1.91678,18.07298,none,flood,1.0
Congo,Likouala,1.91678,18.07523,none,flood,1.0
Congo,Likouala,1.91453,18.07073,none,flood,1.0
Congo,Likouala,1.91453,18.07298,none,flood,1.0
Congo,Likouala,1.91453,18.07523,none,flood,1.0
Congo,Likouala,1.91229,18.06624,none,flood,1.0
Congo,Likouala,1.91229,18.07073,none,flood,1.0
Congo,Likouala,1.91229,18.07298,none,flood,1.0
Congo,Likouala,1.91004,18.06624,none,flood,1.0
Congo,Likouala,1.91004,18.07073,none,flood,1.0
Congo,Likouala,1.91004,18.07298,none,flood,1.0
Congo,Likouala,1.9078,18.06624,none,flood,1.0
Congo,Likouala,1.9078,18.06849,none,flood,1.0
Congo,Likouala,1.9078,18.07073,none,flood,1.0
Congo,Likouala,1.90555,18.06624,none,flood,1.0
Congo,Likouala,1.90555,18.06849,none,flood,1.0
Congo,Likouala,1.90331,18.06624,none,flood,1.0
Congo,Likouala,1.90331,18.06849,none,flood,1.0
Congo,Likouala,1.90106,18.06624,none,flood,1.0
Congo,Likouala,1.90106,18.06849,none,flood,1.0
Congo,Likouala,1.89881,18.06624,none,flood,1.0
Congo,Likouala,1.89881,18.06849,none,flood,1.0
Congo,Likouala,1.89881,18.07298,none,flood,1.0
Congo,Likouala,1.89657,18.064,none,flood,1.0
Congo,Likouala,1.89657,18.06624,none,flood,1.0
Congo,Likouala,1.89657,18.06849,none,flood,1.0
Congo,Likouala,1.89657,18.07298,none,flood,1.0
Congo,Likouala,1.89432,18.06624,none,flood,1.0
Congo,Likouala,1.89432,18.06849,none,flood,1.0
Congo,Likouala,1.89208,18.06624,none,flood,1.0
Congo,Likouala,1.89208,18.06849,none,flood,1.0
Congo,Likouala,1.88983,18.05951,none,flood,1.0
Congo,Likouala,1.88983,18.06624,none,flood,1.0
Congo,Likouala,1.88983,18.06849,none,flood,1.0
Congo,Likouala,1.88758,18.05951,none,flood,1.0
